Model,Forecast_Multiplier,Total_Cost,CashOut_Days,Refill_Count,Total_Refilled,Delta_Cost_%,Delta_RefillCount,Delta_TotalRefilled,RefillDays_Jaccard_vs_Base
LinearRegression,0.911,1167330.74145,0,405,116733074.145,-9.0733115096712,11,-11648456.166000009,0.9583333333333334
LinearRegression,0.912,1168639.5564899999,0,405,116863955.64899999,-8.971364209554967,11,-11517574.662000015,0.9583333333333334
LinearRegression,0.913,1169948.37212,0,405,116994837.212,-8.869416863481927,11,-11386693.099000007,0.9583333333333334
LinearRegression,0.914,1171257.18757,0,405,117125718.757,-8.767469531429606,11,-11255811.554000005,0.9583333333333334
LinearRegression,0.915,1172566.00311,0,405,117256600.311,-8.665522192366948,11,-11124930.0,0.9583333333333334
LinearRegression,0.916,1173874.81904,0,405,117387481.904,-8.563574822926068,11,-10994048.407000005,0.9583333333333334
LinearRegression,0.917,1175183.63468,0,405,117518363.468,-8.46162747607413,11,-10863166.84300001,0.9583333333333334
LinearRegression,0.918,1176492.44981,0,405,117649244.981,-8.359680168947515,11,-10732285.329999998,0.9583333333333334
LinearRegression,0.919,1177801.2632300002,0,404,117780126.32300001,-8.257732995017609,10,-10601403.98799999,0.9655172413793104
LinearRegression,0.92,1179110.08047,0,404,117911008.047,-8.155785523537162,10,-10470522.263999999,0.9655172413793104
LinearRegression,0.921,1180418.8953200001,0,404,118041889.532,-8.053838238220523,10,-10339640.779,0.9655172413793104
LinearRegression,0.922,1181727.71043,0,404,118172771.04300001,-7.951890932651773,10,-10208759.267999992,0.9655172413793104
LinearRegression,0.923,1183036.52501,0,404,118303652.50099999,-7.849943668366222,10,-10077877.810000017,0.9655172413793104
LinearRegression,0.924,1184345.34105,0,404,118434534.10499999,-7.74799629035714,10,-9946996.206000015,0.9655172413793104
LinearRegression,0.925,1185654.15608,0,404,118565415.60800001,-7.646048991019794,10,-9816114.702999994,0.9655172413793104
LinearRegression,0.926,1186962.9711,0,404,118696297.11,-7.544101692461402,10,-9685233.201000005,0.9655172413793104
LinearRegression,0.927,1188271.78626,0,405,118827178.626,-7.442154382998012,11,-9554351.685000002,0.9679802955665024
LinearRegression,0.928,1189580.6016000002,0,405,118958060.16,-7.340207059513881,11,-9423470.151000008,0.9679802955665024
LinearRegression,0.929,1190889.4172919998,0,404,119088941.7292,-7.238259708611539,10,-9292588.581799999,0.9655172413793104
LinearRegression,0.93,1192198.2321549999,0,404,119219823.2155,-7.136312422282298,10,-9161707.095500007,0.9655172413793104
LinearRegression,0.931,1193507.04794,0,403,119350704.794,-7.0343650641358835,9,-9030825.517000005,0.9679012345679012
LinearRegression,0.932,1194815.862923,0,404,119481586.29229999,-6.9324177684595085,10,-8899944.018700019,0.9655172413793104
LinearRegression,0.933,1196124.6790760001,0,404,119612467.9076,-6.830470381648535,10,-8769062.403400004,0.9655172413793104
LinearRegression,0.934,1197433.49445,0,404,119743349.445,-6.728523055516067,10,-8638180.866000012,0.9655172413793104
LinearRegression,0.935,1198742.30985,0,398,119874230.985,-6.6265757273583965,4,-8507299.326000005,0.98
LinearRegression,0.936,1200051.124527,0,404,120005112.45269999,-6.524628455517245,10,-8376417.858300015,0.9655172413793104
LinearRegression,0.937,1201359.938521,0,404,120135993.85209998,-6.422681236876871,10,-8245536.4589000195,0.9655172413793104
LinearRegression,0.938,1202668.7555900002,0,404,120266875.559,-6.320733778716059,10,-8114654.752000004,0.9655172413793104
LinearRegression,0.939,1203977.57061,0,397,120397757.061,-6.218786480157668,3,-7983773.25,0.9824561403508771
LinearRegression,0.94,1205286.38674,0,397,120528638.674,-6.116839095138237,3,-7852891.637000009,0.9824561403508771
LinearRegression,0.941,1206595.202,0,398,120659520.2,-6.0148917778855555,4,-7722010.111000001,0.98
LinearRegression,0.942,1207904.01693,0,394,120790401.69299999,-5.912944486337524,0,-7591128.618000016,0.9949367088607595
LinearRegression,0.943,1209212.83152,0,394,120921283.152,-5.810997221273029,0,-7460247.159000009,0.9949367088607595
LinearRegression,0.944,1210521.64717,0,395,121052164.71700001,-5.709049873642147,1,-7329365.593999997,0.9924242424242424
LinearRegression,0.945,1211830.46391,0,394,121183046.391,-5.607102441108092,0,-7198483.920000002,0.9949367088607595
LinearRegression,0.946,1213139.2776900001,0,394,121313927.769,-5.505155239136772,0,-7067602.542000011,0.9949367088607595
LinearRegression,0.947,1214448.09362,0,394,121444809.36200002,-5.403207869695914,0,-6936720.948999986,0.9949367088607595
LinearRegression,0.948,1215756.9083099999,0,394,121575690.831,-5.301260596842161,0,-6805839.480000004,0.9949367088607595
LinearRegression,0.949,1217065.72487,0,394,121706572.48699999,-5.19931317832879,0,-6674957.824000016,0.9949367088607595
LinearRegression,0.95,1218374.5403,0,394,121837454.03,-5.097365847834334,0,-6544076.281000003,1.0
LinearRegression,0.951,1219683.35369,0,394,121968335.369,-4.995418676241236,0,-6413194.942000002,1.0
LinearRegression,0.952,1220992.1698500002,0,394,122099216.98500001,-4.8934712888849985,0,-6282313.32599999,1.0
LinearRegression,0.953,1222300.98599,0,394,122230098.599,-4.7915239030866585,0,-6151431.7119999975,1.0
LinearRegression,0.954,1223609.80046,0,394,122360980.046,-4.689576647369298,0,-6020550.265000001,1.0
LinearRegression,0.955,1224918.61494,0,394,122491861.494,-4.587629390873027,0,-5889668.817000002,1.0
LinearRegression,0.956,1226227.43088,0,394,122622743.088,-4.485682020653215,0,-5758787.223000005,1.0
LinearRegression,0.957,1227536.24698,0,394,122753624.698,-4.383734637970571,0,-5627905.6130000055,1.0
LinearRegression,0.958,1228845.0614200002,0,394,122884506.142,-4.281787384589997,0,-5497024.169,1.0
LinearRegression,0.959,1230153.8764,0,394,123015387.63999999,-4.179840089147325,0,-5366142.671000019,1.0
LinearRegression,0.96,1231462.6913299998,0,394,123146269.133,-4.077892797599292,0,-5235261.178000003,1.0
LinearRegression,0.961,1232771.50739,0,394,123277150.739,-3.975945418032345,0,-5104379.572000012,1.0
LinearRegression,0.962,1234080.3225200002,0,394,123408032.252,-3.8739981109057076,0,-4973498.059,1.0
LinearRegression,0.963,1235389.13734,0,394,123538913.734,-3.772050827925899,0,-4842616.577000007,1.0
LinearRegression,0.964,1236697.95345,0,394,123669795.345,-3.670103444464312,0,-4711734.966000006,1.0
LinearRegression,0.965,1238006.7677700003,0,394,123800676.777,-3.568156200430861,0,-4580853.534000009,1.0
LinearRegression,0.966,1239315.58349,0,394,123931558.349,-3.466208847347496,0,-4449971.9619999975,1.0
LinearRegression,0.967,1240624.39935,0,394,124062439.935,-3.364261483359121,0,-4319090.376000002,1.0
LinearRegression,0.968,1241933.21436,0,394,124193321.436,-3.262314185579651,0,-4188208.875,1.0
LinearRegression,0.969,1243242.02874,0,394,124324202.87399998,-3.1603669368726606,0,-4057327.4370000213,1.0
LinearRegression,0.97,1244550.84583,0,394,124455084.583,-3.058419477076113,0,-3926445.728,1.0
LinearRegression,0.971,1245859.6602,0,394,124585966.02000001,-2.956472229148044,0,-3795564.2909999937,1.0
LinearRegression,0.972,1247168.47676,0,394,124716847.676,-2.8545248106346954,0,-3664682.6350000054,1.0
LinearRegression,0.973,1248477.29123,0,394,124847729.123,-2.752577554917346,0,-3533801.1880000085,1.0
LinearRegression,0.974,1249786.10592,0,394,124978610.59200001,-2.650630282063582,0,-3402919.718999997,1.0
LinearRegression,0.975,1251094.92251,0,394,125109492.25099999,-2.548682861213447,0,-3272038.0600000173,1.0
LinearRegression,0.976,1252403.7371500002,0,394,125240373.715,-2.446735592254301,0,-3141156.596000001,1.0
LinearRegression,0.977,1253712.55131,0,394,125371255.131,-2.344788360683736,0,-3010275.180000007,1.0
LinearRegression,0.978,1255021.3670299998,0,394,125502136.70300001,-2.2428410076003713,0,-2879393.6079999954,1.0
LinearRegression,0.979,1256330.1834999998,0,394,125633018.35,-2.140893596097382,0,-2748511.9610000104,1.0
LinearRegression,0.98,1257638.9971599998,0,394,125763899.71599999,-2.0389464034732185,0,-2617630.5950000137,1.0
LinearRegression,0.981,1258947.8136399998,0,394,125894781.364,-1.9369989911912966,0,-2486748.947000012,1.0
LinearRegression,0.982,1260256.62843,0,394,126025662.843,-1.83505171054823,0,-2355867.4680000097,1.0
LinearRegression,0.983,1261565.44329,0,394,126156544.329,-1.7331044244526694,0,-2224985.982000008,1.0
LinearRegression,0.984,1262874.25928,0,394,126287425.928,-1.6311570503382278,0,-2094104.3830000013,1.0
LinearRegression,0.985,1264183.07468,0,394,126418307.468,-1.5292097221805578,0,-1963222.8430000097,1.0
LinearRegression,0.986,1265491.88963,0,394,126549188.963,-1.4272624290746494,0,-1832341.348000005,1.0
LinearRegression,0.987,1266800.7059300002,0,394,126680070.593,-1.3253150308134232,0,-1701459.7180000097,1.0
LinearRegression,0.988,1268109.51884,0,394,126810951.884,-1.2233678966088957,0,-1570578.427000001,1.0
LinearRegression,0.989,1269418.33544,0,394,126941833.54400001,-1.1214204749798284,0,-1439696.7669999897,1.0
LinearRegression,0.99,1270727.15175,0,394,127072715.175,-1.019473075939692,0,-1308815.1360000074,1.0
LinearRegression,0.991,1272035.9658500003,0,394,127203596.58500001,-0.9175258490426663,0,-1177933.725999996,1.0
LinearRegression,0.992,1273344.78168,0,394,127334478.16799998,-0.8155784873910998,0,-1047052.1430000216,1.0
LinearRegression,0.993,1274653.5966500002,0,394,127465359.66499999,-0.7136311927273264,0,-916170.6460000128,1.0
LinearRegression,0.994,1275962.41324,0,394,127596241.324,-0.6116837718772139,0,-785288.9870000035,1.0
LinearRegression,0.995,1277271.2278200001,0,394,127727122.78199999,-0.5097365075916294,0,-654407.5290000141,1.0
LinearRegression,0.996,1278580.0433900002,0,394,127858004.339,-0.407789166192174,0,-523525.97200000286,1.0
LinearRegression,0.997,1279888.85958,0,394,127988885.95799999,-0.30584177649918276,0,-392644.353000015,1.0
LinearRegression,0.998,1281197.67444,0,394,128119767.444,-0.20389449040363328,0,-261762.8669999987,1.0
LinearRegression,0.999,1282506.48714,0,394,128250648.71399999,-0.10194737255657671,0,-130881.59700001776,1.0
LinearRegression,1.0,1283815.30311,0,394,128381530.311,0.0,0,0.0,1.0
LinearRegression,1.001,1285124.11999,0,394,128512411.99899998,0.10194744343905437,0,130881.68799997866,1.0
LinearRegression,1.002,1286432.9350700001,0,394,128643293.507,0.20389474667104057,0,261763.19599999487,1.0
LinearRegression,1.003,1287741.75006,0,394,128774175.00599998,0.3058420428926345,0,392644.69499997795,1.0
LinearRegression,1.004,1289050.56644,0,394,128905056.64400001,0.4077894473852872,0,523526.3330000043,1.0
LinearRegression,1.005,1290359.3811,0,394,129035938.10999998,0.5097367179022871,0,654407.7989999801,1.0
LinearRegression,1.006,1291668.19607,0,394,129166819.607,0.6116840125660383,0,785289.2959999889,1.0
LinearRegression,1.007,1292977.01177,0,394,129297701.177,0.7136313640915493,0,916170.8659999967,1.0
LinearRegression,1.008,1294285.82605,0,394,129428582.60499999,0.8155786050092706,0,1047052.2939999849,1.0
LinearRegression,1.009,1295594.6425100002,0,394,129559464.25099999,0.9175260157333387,0,1177933.9399999827,1.0
LinearRegression,1.01,1296903.4571000002,0,394,129690345.71000001,1.0194732807978335,0,1308815.399000004,1.0
LinearRegression,1.011,1298212.27265,0,392,129821227.265,1.121420620639424,-2,1439696.9539999962,0.9848484848484849
LinearRegression,1.012,1299521.0886473,0,395,129952108.86473,1.2233679953224774,1,1570578.553729996,0.9974683544303797
LinearRegression,1.013,1300829.901912,0,395,130082990.19120002,1.3253151571556154,1,1701459.8802000135,0.9974683544303797
LinearRegression,1.014,1302138.718306,0,395,130213871.8306,1.4272625627387514,1,1832341.519599989,0.9974683544303797
LinearRegression,1.015,1303447.53308,0,395,130344753.30800001,1.529209842135515,1,1963222.9970000088,0.9974683544303797
LinearRegression,1.016,1304756.3500450002,0,395,130475635.0045,1.6311572921954731,1,2094104.6934999973,0.9974683544303797
LinearRegression,1.017,1306065.1642490001,0,395,130606516.4249,1.7331045271933299,1,2224986.113899991,0.9974683544303797
LinearRegression,1.018,1307373.980553,0,395,130737398.0553,1.8350519257660958,1,2355867.744299993,0.9974683544303797
LinearRegression,1.019,1308682.795097,0,395,130868279.5097,1.9369991872475234,1,2486749.198699996,0.9974683544303797
LinearRegression,1.02,1309991.610012,0,395,130999161.00119999,2.038946477627168,1,2617630.690199986,0.9974683544303797
LinearRegression,1.021,1311300.425306,0,395,131130042.5306,2.1408937975282205,1,2748512.219599992,0.9974683544303797
LinearRegression,1.022,1312609.24044,0,395,131260924.04399998,2.2428411049663977,1,2879393.7329999804,0.9974683544303797
LinearRegression,1.023,1313918.055805,0,395,131391805.58049999,2.344788430397826,1,3010275.2694999874,0.9974683544303797
LinearRegression,1.024,1315226.870659,0,395,131522687.06590001,2.4467357160260272,1,3141156.7549000084,0.9974683544303797
LinearRegression,1.025,1316535.688013,0,395,131653568.8013,2.548683196386259,1,3272038.4902999997,0.9974683544303797
LinearRegression,1.026,1317844.5022180001,0,395,131784450.2218,2.650630431462031,1,3402919.910799995,0.9974683544303797
LinearRegression,1.027,1319153.3165720003,0,395,131915331.6572,2.7525776781438305,1,3533801.3461999893,0.9974683544303797
LinearRegression,1.028,1320462.132836,0,395,132046213.2836,2.8545250736008887,1,3664682.972599998,0.9974683544303797
LinearRegression,1.029,1321770.948711,0,395,132177094.8711,2.956472438757629,1,3795564.560099989,0.9974683544303797
LinearRegression,1.03,1323079.762865,0,395,132307976.28650002,3.0584196698608457,1,3926445.9755000174,0.9974683544303797
LinearRegression,1.031,1324388.578919,0,395,132438857.8919,3.160367048960433,1,4057327.5808999985,0.9974683544303797
LinearRegression,1.032,1325697.3935500002,0,395,132569739.35499999,3.262314317218551,1,4188209.043999985,0.9974683544303797
LinearRegression,1.033,1327006.20952,0,395,132700620.95199999,3.3642616897751276,1,4319090.640999988,0.9974683544303797
LinearRegression,1.034,1328315.0247499999,0,395,132831502.475,3.46620900469099,1,4449972.16399999,0.9974683544303797
LinearRegression,1.035,1329623.83979,0,395,132962383.979,3.5681563048072684,1,4580853.667999998,0.9974683544303797
LinearRegression,1.036,1330932.6548300001,0,395,133093265.48300001,3.670103604923547,1,4711735.172000006,0.9974683544303797
LinearRegression,1.037,1332241.47062,0,395,133224147.06199999,3.7720509634594057,1,4842616.750999987,0.9974683544303797
LinearRegression,1.038,1333550.28541,0,395,133355028.54099998,3.873998244102461,1,4973498.229999974,0.9974683544303797
LinearRegression,1.039,1334859.1018304,0,404,133485910.18304,3.9759456517419745,10,5104379.872039989,0.9752475247524752
LinearRegression,1.04,1336167.9160973001,0,404,133616791.60973,4.07789289163929,10,5235261.298730001,0.9752475247524752
LinearRegression,1.041,1337476.731884,0,404,133747673.1884,4.17984024991811,10,5366142.877399996,0.9752475247524752
LinearRegression,1.042,1338785.547171,0,404,133878554.7171,4.281787569273887,10,5497024.40609999,0.9752475247524752
LinearRegression,1.043,1340094.360848,0,403,134009436.0848,4.383734763222247,9,5627905.773800001,0.9776674937965261
LinearRegression,1.044,1341403.176655,0,404,134140317.6655,4.485682123082291,10,5758787.354499996,0.9752475247524752
LinearRegression,1.045,1342711.993052,0,404,134271199.3052,4.5876295288991065,10,5889668.994200006,0.9752475247524752
LinearRegression,1.046,1344020.809119,0,404,134402080.9119,4.689576909011306,10,6020550.600900009,0.9752475247524752
LinearRegression,1.047,1345329.623356,0,405,134532962.33560002,4.791524146579618,11,6151432.024600014,0.9728395061728395
LinearRegression,1.048,1346638.439903,0,405,134663843.9903,4.893471564080354,11,6282313.679299995,0.9728395061728395
LinearRegression,1.049,1347947.25367,0,405,134794725.36699998,4.995418765039061,11,6413195.055999979,0.9728395061728395
LinearRegression,1.05,1349256.069977,0,404,134925606.9977,5.097366163845507,10,6544076.686700001,0.9752475247524752
LinearRegression,1.051,1350564.885234,0,405,135056488.5234,5.199313480864531,11,6674958.212400004,0.9728395061728395
LinearRegression,1.052,1351873.700281,0,405,135187370.02809998,5.30126078152604,11,6805839.7170999795,0.9728395061728395
LinearRegression,1.053,1353182.515427,0,405,135318251.5427,5.403208089898914,11,6936721.231699988,0.9728395061728395
LinearRegression,1.054,1354491.330964,0,405,135449133.0964,5.505155428727915,11,7067602.785399988,0.9728395061728395
LinearRegression,1.055,1355800.1450109999,0,405,135580014.5011,5.607102651496598,11,7198484.190099999,0.9728395061728395
LinearRegression,1.056,1357108.960928,0,405,135710896.09280002,5.709050019924877,11,7329365.781800017,0.9728395061728395
LinearRegression,1.057,1358417.776585,0,405,135841777.6585,5.810997368101001,11,7460247.3474999815,0.9728395061728395
LinearRegression,1.058,1359726.592532,0,404,135972659.2532,5.912944738866055,10,7591128.94219999,0.9752475247524752
LinearRegression,1.059,1361035.4070589999,0,406,136103540.70589998,6.014891999023275,12,7722010.394899979,0.9704433497536946
LinearRegression,1.06,1362344.2221300001,0,406,136234422.213,6.116839301554244,12,7852891.901999995,0.9704433497536946
LinearRegression,1.061,1363653.03795,0,406,136365303.79500002,6.218786662426901,12,7983773.484000012,0.9704433497536946
LinearRegression,1.062,1364961.85258,0,406,136496185.258,6.320733930607081,12,8114654.946999982,0.9704433497536946
LinearRegression,1.063,1366270.66764,0,406,136627066.764,6.422681232281202,12,8245536.452999994,0.9704433497536946
LinearRegression,1.064,1367579.48428,0,406,136757948.42799997,6.524628657025988,12,8376418.116999969,0.9704433497536946
LinearRegression,1.065,1368888.29963,0,405,136888829.963,6.626575981289018,11,8507299.651999995,0.9728395061728395
LinearRegression,1.066,1370197.11386,0,405,137019711.386,6.728523218312077,11,8638181.075000003,0.9728395061728395
LinearRegression,1.067,1371505.9287,0,406,137150592.87,6.8304705028497725,12,8769062.559,0.9704433497536946
LinearRegression,1.068,1372814.74587,0,406,137281474.587,6.932417968877758,12,8899944.276000008,0.9704433497536946
LinearRegression,1.069,1374123.56068,0,406,137412356.06800002,7.034365251078678,12,9030825.757000014,0.9704433497536946
LinearRegression,1.07,1375432.3756400002,0,406,137543237.564,7.136312544963519,12,9161707.253000006,0.9704433497536946
LinearRegression,1.071,1376741.18976,0,406,137674118.97599998,7.238259773418343,12,9292588.664999977,0.9704433497536946
LinearRegression,1.072,1378050.00562,0,406,137805000.56199998,7.340207137406729,12,9423470.250999972,0.9704433497536946
LinearRegression,1.073,1379358.82327,0,405,137935882.327,7.442154640823251,11,9554352.015999988,0.9728395061728395
LinearRegression,1.074,1380667.6365800002,0,405,138066763.658,7.544101806184944,11,9685233.346999988,0.9728395061728395
LinearRegression,1.075,1381976.45263,0,405,138197645.26299998,7.646049184972936,11,9816114.951999977,0.9728395061728395
LinearRegression,1.076,1383285.2669600002,0,405,138328526.69599998,7.747996429785298,11,9946996.384999976,0.9728395061728395
LinearRegression,1.077,1384594.0806999998,0,405,138459408.07,7.849943628640865,11,10077877.758999988,0.9728395061728395
LinearRegression,1.078,1385902.8990500001,0,405,138590289.90499997,7.951891186582394,11,10208759.593999967,0.9728395061728395
LinearRegression,1.079,1387211.7133900002,0,405,138721171.339,8.053838432173688,11,10339641.027999982,0.9728395061728395
LinearRegression,1.08,1388520.52943,0,405,138852052.943,8.155785810182747,11,10470522.631999984,0.9728395061728395
LinearRegression,1.081,1389829.34448,0,405,138982934.44799998,8.257733111077936,11,10601404.13699998,0.9728395061728395
LinearRegression,1.082,1391138.157511,0,404,139113815.7511,8.359680254707502,10,10732285.4401,0.9752475247524752
LinearRegression,1.083,1392446.975028,0,398,139244697.5028,8.46162774776429,4,10863167.191799983,0.9899497487437185
LinearRegression,1.084,1393755.7898920001,0,403,139375578.9892,8.563575034171421,9,10994048.678199992,0.9776674937965261
LinearRegression,1.085,1395064.604936,0,403,139506460.4936,8.66552233459923,9,11124930.182600006,0.9776674937965261
LinearRegression,1.086,1396373.418981,0,404,139637341.8981,8.767469557212149,10,11255811.587099984,0.9752475247524752
LinearRegression,1.087,1397682.235063,0,398,139768223.5063,8.869416938492702,4,11386693.195299998,0.9899497487437185
LinearRegression,1.088,1398991.051776,0,404,139899105.1776,8.971364368923673,10,11517574.866599992,0.9752475247524752
LinearRegression,1.089,1400299.86687,0,397,140029986.687,9.073311673246142,3,11648456.376000002,0.9924433249370277
LinearRegression,1.09,1401608.6809740001,0,398,140160868.09739998,9.175258900454741,4,11779337.786399975,0.9899497487437185
LinearRegression,1.091,1402917.496518,0,398,140291749.65179998,9.277206239828972,4,11910219.340799972,0.9899497487437185
LinearRegression,1.092,1404226.31256,0,397,140422631.256,9.37915361799384,3,12041100.945000008,0.9924433249370277
LinearRegression,1.093,1405535.12782,0,397,140553512.782,9.481100935246523,3,12171982.471,0.9924433249370277
LinearRegression,1.094,1406843.94264,0,397,140684394.264,9.583048218226352,3,12302863.952999994,0.9924433249370277
LinearRegression,1.095,1408152.75709,0,397,140815275.709,9.684995472385838,3,12433745.397999987,0.9924433249370277
LinearRegression,1.096,1409461.5732469999,0,398,140946157.3247,9.786942859508363,4,12564627.013699993,0.9899497487437185
LinearRegression,1.097,1410770.38809,0,397,141077038.80900002,9.88889014427976,3,12695508.49800001,0.9924433249370277
LinearRegression,1.098,1412079.20353,0,397,141207920.353,9.990837475553139,3,12826390.04199998,0.9924433249370277
LinearRegression,1.099,1413388.01947,0,397,141338801.947,10.09278484577294,3,12957271.635999992,0.9924433249370277
LinearRegression,1.1,1414696.8349300001,0,396,141469683.493,10.194732178604205,2,13088153.181999996,0.9849246231155779
XGBoost,0.9,1150774.263212,0,396,115077426.3212,-10.195096818453376,-6,-13064158.652799994,0.9511002444987775
